ABCAR|301000|220000
ABHYD|285900|227800
ABNTY|319000|716400
ACKGL|334830|954990
ADARN|334830|954990
AGHAL|135000|313000
AGHAS|261780|383900
AGHIB|51000|99900
AGLIS|53000|154000
AGWIL|246850|222200
AHLIS|141000|47000
ALTYR|339100|855370
AMORE|218800|77300
ANDRS|240400|502200
ANGAP|59000|103000
ANSCL|59000|102000
ARBRY|224900|470400
ARDCT|81900|103300
ARDFE|78000|120000
ARDNE|59759|100960
ARFYN|280000|333000
ARRAG|46500|114200
ATHLO|240000|241700
AUQUH|382320|790790
AUTAG|124700|58000
AYWAG|86560|100802
BABOR|170300|83200
BAGLN|275350|192280
BAHAN|158000|64400
BAKIL|248000|271900
BAKNK|194300|86800
BALBA|333000|352000
BALBO|252000|136000
BALBR|81000|121000
BALEE|49000|111100
BALGH|287000|111200
BALIG|36000|165700
BARDS|212060|322140
BARHA|144100|83300
BARM1|260000|316000
BARM2|260000|317000
BAROG|378000|291000
BAVEL|253000|113700
BAWGL|110000|110000
BAYEL|143000|134000
BCARE|293200|189000
BDAFN|281100|381750
BDREN|60000|103000
BENBR|255000|149000
BGARR|174900|125900
BGLAS|286000|188000
BHILL|83000|102000
BIISL|183000|75000
BIRSY|323900|1028500
BISCV|258200|53580
BLFOO|188000|630000
BLHER|60000|103000
BLHUN|61000|105200
BLNIG|37055|104269
BLTAG|46300|99700
BLTER|60000|142900
BLVOO|237700|98000
BLYGH|40000|142800
BODFD|236473|375052
BOSKN|142500|25900
BOSLW|139240|33030
BOSWR|190120|63430
BOWDN|280000|58000
BQUIN|242100|118700
BRAGH|42000|102000
BRATT|375990|822400
BRAW1|188200|227600
BRAW2|185760|223980
BRAW3|188400|227500
BRAW4|184600|225400
BRCKN|60000|101600
BREAS|118300|333800
BREAY|452100|1142300
BRHAM|42000|99600
BRHGW|118604|289517
BRHKL|81000|92000
BRIDE|245900|507000
BRIDL|217660|242060
BRMOU|46000|111000
BROD|299000|858400
BRUGH|239000|341000
BRYNK|248200|345540
BTOBR|115400|279300
BUCKM|249000|68000
BUKIL|152000|80800
BURGA|130000|36000
BURIN|376270|1051380
BURNF|159000|91200
BWEEN|35000|123200
